Parameters : 

                   

populationSize = 50

maxRules = 60

maxGenerations = 1500

mutationRate = 0.07

bidPercentage = 0.05

rewardAmount = 2

repeatCount = 20

taxRate = 0.15

negativeRewardFactor = 0.75

strengthThreshold = 19

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
Condition: #01#1# Action: 1 Strength: 26.2415

Condition: #00#0# Action: 0 Strength: 26.2415

Condition: 000#0# Action: 1 Strength: 22.2173

Condition: #01#0# Action: 0 Strength: 22.2173

Condition: #01#0# Action: 0 Strength: 21.2848

Condition: #01#1# Action: 1 Strength: 21.2848

Condition: 001#0# Action: 1 Strength: 22.2173

Condition: #01#1# Action: 1 Strength: 22.2173

Condition: #00#11 Action: 1 Strength: 26.2415

Condition: #01#0# Action: 0 Strength: 26.2415

Condition: #00#1# Action: 0 Strength: 26.2415

Condition: #01#1# Action: 1 Strength: 26.2415

Condition: 001#0# Action: 1 Strength: 22.2173

Condition: #0##0# Action: 0 Strength: 22.2173

ALL RULES 

Rule 9: Condition = #0####, Action = 1, Strength = 14.5583

Rule 10: Condition = ######, Action = 1, Strength = 14.5583

Rule 11: Condition = #0####, Action = 0, Strength = 18.515

Rule 12: Condition = ####0#, Action = 1, Strength = 18.515

Rule 13: Condition = #01#1#, Action = 1, Strength = 11.9924

Rule 14: Condition = 10####, Action = 0, Strength = 11.9924

Rule 15: Condition = 0###1#, Action = 1, Strength = 11.3119

Rule 16: Condition = 10##0#, Action = 0, Strength = 11.3119

Rule 17: Condition = 11####, Action = 0, Strength = 6.83863

Rule 18: Condition = ######, Action = 1, Strength = 6.83863

Rule 19: Condition = 1#####, Action = 0, Strength = 6.85561

Rule 20: Condition = 100#1#, Action = 1, Strength = 6.85561

Rule 21: Condition = ######, Action = 1, Strength = 14.5583

Rule 22: Condition = #0####, Action = 1, Strength = 14.5583

Rule 23: Condition = 10##1#, Action = 1, Strength = 20.2197

Rule 24: Condition = #0#0##, Action = 1, Strength = 20.2197

Rule 25: Condition = 10##1#, Action = 1, Strength = 12.3741

Rule 26: Condition = ####1#, Action = 1, Strength = 12.3741

Rule 27: Condition = #00###, Action = 0, Strength = 23.1272

Rule 28: Condition = #10#1#, Action = 0, Strength = 23.1272

Rule 29: Condition = 10#10#, Action = 0, Strength = 18.0501

Rule 30: Condition = 10##1#, Action = 1, Strength = 18.0501

Rule 31: Condition = #0##1#, Action = 1, Strength = 8.37172

Rule 32: Condition = 10####, Action = 1, Strength = 8.37172

Rule 33: Condition = #00###, Action = 0, Strength = 23.6518

Rule 34: Condition = 101#1#, Action = 1, Strength = 23.6518

Rule 35: Condition = #0###1, Action = 0, Strength = 23.6518

Rule 36: Condition = 100#1#, Action = 1, Strength = 23.6518

Rule 37: Condition = 10##1#, Action = 1, Strength = 12.3007

Rule 38: Condition = 10####, Action = 0, Strength = 12.3007

Rule 39: Condition = 100##1, Action = 0, Strength = 23.6518

Rule 40: Condition = #0##1#, Action = 1, Strength = 23.6518

Rule 41: Condition = ######, Action = 0, Strength = 8.33816

Rule 42: Condition = 101#1#, Action = 1, Strength = 8.33816

Rule 43: Condition = 10##11, Action = 1, Strength = 18.0501

Rule 44: Condition = 10110#, Action = 0, Strength = 18.0501

Rule 45: Condition = 10####, Action = 1, Strength = 14.0934

Rule 46: Condition = #0####, Action = 0, Strength = 14.0934

Rule 47: Condition = 00####, Action = 1, Strength = 16.9136

Rule 48: Condition = 100#1#, Action = 0, Strength = 16.9136

Rule 49: Condition = 10##1#, Action = 1, Strength = 20.2197

Rule 50: Condition = 10##0#, Action = 1, Strength = 20.2197

Rule 51: Condition = #0##00, Action = 1, Strength = 8.34769

Rule 52: Condition = 100###, Action = 0, Strength = 8.34769

Rule 53: Condition = ######, Action = 1, Strength = 14.5583

Rule 54: Condition = ######, Action = 1, Strength = 14.5583

Rule 55: Condition = #0##1#, Action = 1, Strength = 5.58776

Rule 56: Condition = 00##1#, Action = 1, Strength = 5.58776

Rule 57: Condition = 10####, Action = 1, Strength = 23.6518

Rule 58: Condition = #01#1#, Action = 1, Strength = 23.6518

Rule 59: Condition = #10###, Action = 1, Strength = 11.7668

Rule 60: Condition = #11#1#, Action = 0, Strength = 11.7668


Final Accuracy: 59.375%

Run : 2

Final High Strength Rules:
Condition: 10##1# Action: 1 Strength: 26.2415

Condition: 01#1## Action: 1 Strength: 26.2415

Condition: 10##0# Action: 0 Strength: 26.2414

Condition: 01#0## Action: 0 Strength: 26.2414

Condition: 101#1# Action: 0 Strength: 26.2415

Condition: 10##0# Action: 1 Strength: 26.2415

Condition: #1#1## Action: 1 Strength: 26.2415

Condition: 01#1## Action: 0 Strength: 26.2415

Condition: 1111## Action: 1 Strength: 26.2415

Condition: 00##0# Action: 0 Strength: 26.2415

Condition: 10##0# Action: 0 Strength: 26.2415

Condition: #0##1# Action: 1 Strength: 26.2415

Condition: 11##0# Action: 1 Strength: 26.2415

Condition: 10#11# Action: 0 Strength: 26.2415

Condition: 11#1## Action: 0 Strength: 26.2414

Condition: 01#0## Action: 1 Strength: 26.2414

Condition: 10#### Action: 1 Strength: 26.2415

Condition: 10##0# Action: 1 Strength: 26.2415

Condition: 01#11# Action: 1 Strength: 26.2415

Condition: 01#1## Action: 1 Strength: 26.2415

Condition: 01#1## Action: 0 Strength: 26.2415

Condition: 10#### Action: 1 Strength: 26.2415

Condition: 00##1# Action: 1 Strength: 26.2415

Condition: 10##1# Action: 1 Strength: 26.2415

Condition: 00#0## Action: 1 Strength: 26.2414

Condition: #1##1# Action: 1 Strength: 26.2414

ALL RULES 

Rule 1: Condition = 10##1#, Action = 1, Strength = 26.2415

Rule 2: Condition = 01#1##, Action = 1, Strength = 26.2415

Rule 3: Condition = 10##0#, Action = 0, Strength = 26.2414

Rule 4: Condition = 01#0##, Action = 0, Strength = 26.2414

Rule 5: Condition = 11#0##, Action = 1, Strength = 10.5707

Rule 6: Condition = 11#1##, Action = 1, Strength = 10.1329

Rule 7: Condition = 11#1##, Action = 1, Strength = 18.1872

Rule 8: Condition = 10#10#, Action = 0, Strength = 18.1872

Rule 9: Condition = 00##1#, Action = 1, Strength = 13.3033

Rule 10: Condition = 0110##, Action = 0, Strength = 13.3033

Rule 11: Condition = 11#0##, Action = 0, Strength = 18.4061

Rule 12: Condition = 10##0#, Action = 0, Strength = 18.4061

Rule 13: Condition = 01##1#, Action = 0, Strength = 13.4375

Rule 14: Condition = 00#11#, Action = 1, Strength = 13.4375

Rule 15: Condition = 01#10#, Action = 0, Strength = 13.6293

Rule 16: Condition = 11#11#, Action = 1, Strength = 13.6293

Rule 17: Condition = 11##1#, Action = 0, Strength = 5.47908

Rule 18: Condition = 10##1#, Action = 0, Strength = 5.47908

Rule 19: Condition = 101#1#, Action = 0, Strength = 26.2415

Rule 20: Condition = 10##0#, Action = 1, Strength = 26.2415

Rule 21: Condition = #1#1##, Action = 1, Strength = 26.2415

Rule 22: Condition = 01#1##, Action = 0, Strength = 26.2415

Rule 23: Condition = 1111##, Action = 1, Strength = 26.2415

Rule 24: Condition = 00##0#, Action = 0, Strength = 26.2415

Rule 25: Condition = 00#0##, Action = 0, Strength = 17.9116

Rule 26: Condition = 01##0#, Action = 0, Strength = 17.9116

Rule 27: Condition = 10##0#, Action = 0, Strength = 26.2415

Rule 28: Condition = #0##1#, Action = 1, Strength = 26.2415

Rule 29: Condition = 1#####, Action = 1, Strength = 13.5228

Rule 30: Condition = 01#01#, Action = 1, Strength = 13.5228

Rule 31: Condition = 00##1#, Action = 0, Strength = 5.10758

Rule 32: Condition = 00####, Action = 0, Strength = 5.10758

Rule 33: Condition = 10#1#1, Action = 1, Strength = 13.5511

Rule 34: Condition = 01##1#, Action = 1, Strength = 13.5511

Rule 35: Condition = 11##0#, Action = 1, Strength = 26.2415

Rule 36: Condition = 10#11#, Action = 0, Strength = 26.2415

Rule 37: Condition = #1#1##, Action = 0, Strength = 17.9116

Rule 38: Condition = 01####, Action = 1, Strength = 17.9116

Rule 39: Condition = 11#1##, Action = 0, Strength = 26.2414

Rule 40: Condition = 01#0##, Action = 1, Strength = 26.2414

Rule 41: Condition = 000###, Action = 0, Strength = 5.18359

Rule 42: Condition = 0#1###, Action = 0, Strength = 5.18359

Rule 43: Condition = 10####, Action = 1, Strength = 26.2415

Rule 44: Condition = 10##0#, Action = 1, Strength = 26.2415

Rule 45: Condition = 10##1#, Action = 1, Strength = 13.4973

Rule 46: Condition = 00##1#, Action = 0, Strength = 13.4973

Rule 47: Condition = 01#11#, Action = 1, Strength = 26.2415

Rule 48: Condition = 01#1##, Action = 1, Strength = 26.2415

Rule 49: Condition = 00##1#, Action = 0, Strength = 13.5135

Rule 50: Condition = 111#1#, Action = 1, Strength = 13.5135

Rule 51: Condition = 01#1##, Action = 0, Strength = 26.2415

Rule 52: Condition = 10####, Action = 1, Strength = 26.2415

Rule 53: Condition = 00##1#, Action = 1, Strength = 26.2415

Rule 54: Condition = 10##1#, Action = 1, Strength = 26.2415

Rule 55: Condition = #0#01#, Action = 1, Strength = 0.910673

Rule 56: Condition = 1###0#, Action = 0, Strength = 0.910673

Rule 57: Condition = 00#0##, Action = 1, Strength = 26.2414

Rule 58: Condition = #1##1#, Action = 1, Strength = 26.2414

Rule 59: Condition = 01#1##, Action = 1, Strength = 13.6293

Rule 60: Condition = 0101##, Action = 1, Strength = 13.6293


Final Accuracy: 37.5%

Run : 3

Final High Strength Rules:
Condition: 1###11 Action: 1 Strength: 26.2415

Condition: 0#11## Action: 1 Strength: 26.2415

Condition: 0#00## Action: 0 Strength: 26.2414

Condition: 1##### Action: 0 Strength: 19.1104

Condition: 1#00## Action: 1 Strength: 26.2415

Condition: 0###1# Action: 0 Strength: 26.2415

Condition: 1#11## Action: 1 Strength: 22.6759

Condition: 0##### Action: 0 Strength: 22.6759

Condition: 1##### Action: 1 Strength: 26.2415

Condition: 0#11#1 Action: 1 Strength: 26.2415

Condition: 1101## Action: 1 Strength: 26.2415

Condition: 0#1#11 Action: 1 Strength: 26.2415

Condition: 0#11## Action: 1 Strength: 26.2415

Condition: 0#11## Action: 1 Strength: 26.2415

Condition: 0##1## Action: 1 Strength: 26.2415

Condition: 1#1#11 Action: 1 Strength: 26.2415

Condition: 0#1### Action: 0 Strength: 22.6759

Condition: 1##1## Action: 1 Strength: 22.6759

Condition: 1#0#11 Action: 1 Strength: 26.2415

Condition: 1###1# Action: 1 Strength: 26.2415

Condition: 1####0 Action: 1 Strength: 26.2415

Condition: 0#111# Action: 1 Strength: 26.2415

Condition: 1##1## Action: 1 Strength: 22.6759

Condition: 0#1### Action: 0 Strength: 22.6759

Condition: 0#001# Action: 0 Strength: 26.2414

Condition: 0100## Action: 0 Strength: 26.2414

Condition: 0#10## Action: 0 Strength: 26.2415

Condition: 0#010# Action: 1 Strength: 26.2415

ALL RULES 

Rule 1: Condition = 1###11, Action = 1, Strength = 26.2415

Rule 2: Condition = 0#11##, Action = 1, Strength = 26.2415

Rule 3: Condition = 0#00##, Action = 0, Strength = 26.2414

Rule 4: Condition = 1#####, Action = 0, Strength = 19.1104

Rule 5: Condition = 0#10##, Action = 0, Strength = 11.2123

Rule 6: Condition = 0#01##, Action = 1, Strength = 9.999

Rule 7: Condition = 1#00##, Action = 1, Strength = 26.2415

Rule 8: Condition = 0###1#, Action = 0, Strength = 26.2415

Rule 9: Condition = 0#11##, Action = 0, Strength = 13.6293

Rule 10: Condition = 0#110#, Action = 1, Strength = 13.6293

Rule 11: Condition = 1#11##, Action = 1, Strength = 22.6759

Rule 12: Condition = 0#####, Action = 0, Strength = 22.6759

Rule 13: Condition = 1#####, Action = 1, Strength = 26.2415

Rule 14: Condition = 0#11#1, Action = 1, Strength = 26.2415

Rule 15: Condition = 1000##, Action = 1, Strength = 13.5848

Rule 16: Condition = 0#00##, Action = 0, Strength = 13.5848

Rule 17: Condition = 1101##, Action = 1, Strength = 26.2415

Rule 18: Condition = 0#1#11, Action = 1, Strength = 26.2415

Rule 19: Condition = 0#11##, Action = 1, Strength = 26.2415

Rule 20: Condition = 0#11##, Action = 1, Strength = 26.2415

Rule 21: Condition = 0##1##, Action = 1, Strength = 26.2415

Rule 22: Condition = 1#1#11, Action = 1, Strength = 26.2415

Rule 23: Condition = 0#1###, Action = 0, Strength = 22.6759

Rule 24: Condition = 1##1##, Action = 1, Strength = 22.6759

Rule 25: Condition = 1#0#11, Action = 1, Strength = 26.2415

Rule 26: Condition = 1###1#, Action = 1, Strength = 26.2415

Rule 27: Condition = 1####0, Action = 1, Strength = 26.2415

Rule 28: Condition = 0#111#, Action = 1, Strength = 26.2415

Rule 29: Condition = 10##1#, Action = 1, Strength = 13.2825

Rule 30: Condition = 0##100, Action = 0, Strength = 13.2825

Rule 31: Condition = 1##1##, Action = 1, Strength = 22.6759

Rule 32: Condition = 0#1###, Action = 0, Strength = 22.6759

Rule 33: Condition = 0#10##, Action = 0, Strength = 13.3849

Rule 34: Condition = 0#00##, Action = 1, Strength = 13.3849

Rule 35: Condition = 0#00##, Action = 0, Strength = 13.6293

Rule 36: Condition = 0##1##, Action = 0, Strength = 13.6293

Rule 37: Condition = 0#1###, Action = 1, Strength = 13.2873

Rule 38: Condition = 1##1##, Action = 1, Strength = 13.2873

Rule 39: Condition = 0#10##, Action = 0, Strength = 5.80119

Rule 40: Condition = 01#0##, Action = 0, Strength = 5.80119

Rule 41: Condition = 0#11##, Action = 0, Strength = 18.1202

Rule 42: Condition = 0#001#, Action = 1, Strength = 18.1202

Rule 43: Condition = 1#####, Action = 1, Strength = 18.7269

Rule 44: Condition = 0#1011, Action = 0, Strength = 18.7269

Rule 45: Condition = 0#001#, Action = 0, Strength = 26.2414

Rule 46: Condition = 0100##, Action = 0, Strength = 26.2414

Rule 47: Condition = 0#1111, Action = 1, Strength = 1.01711

Rule 48: Condition = 1###1#, Action = 0, Strength = 1.01711

Rule 49: Condition = ##00##, Action = 1, Strength = 13.3801

Rule 50: Condition = 0###11, Action = 0, Strength = 13.3801

Rule 51: Condition = 0#01##, Action = 1, Strength = 18.1202

