Parameters : 

                   

populationSize = 40

maxRules = 60

maxGenerations = 2000

mutationRate = 0.06

bidPercentage = 0.1

rewardAmount = 1.5

repeatCount = 30

taxRate = 0.15

negativeRewardFactor = 0.6

strengthThreshold = 19

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = 1###11, Action = 1, Strength = 11.4517

Rule 2: Condition = 1###00, Action = 0, Strength = 11.4517

Rule 3: Condition = 0#00##, Action = 0, Strength = 11.4517

Rule 4: Condition = 11##01, Action = 1, Strength = 9.64029

Rule 5: Condition = 1###01, Action = 0, Strength = 9.40757

Rule 6: Condition = 11####, Action = 0, Strength = 8.00685

Rule 7: Condition = 10##01, Action = 0, Strength = 8.07246

Rule 8: Condition = 11####, Action = 1, Strength = 8.07246

Rule 9: Condition = 000100, Action = 1, Strength = 5.96573

Rule 10: Condition = 1####0, Action = 0, Strength = 5.96573

Rule 11: Condition = 11####, Action = 0, Strength = 6.71684

Rule 12: Condition = 000100, Action = 0, Strength = 6.71684

Rule 13: Condition = 1###01, Action = 1, Strength = 10.546

Rule 14: Condition = 11#111, Action = 1, Strength = 10.546

Rule 15: Condition = 0#00##, Action = 0, Strength = 11.4517

Rule 16: Condition = 1#00##, Action = 0, Strength = 11.4517

Rule 17: Condition = 000100, Action = 1, Strength = 6.65479

Rule 18: Condition = 0#1#0#, Action = 0, Strength = 6.65479

Rule 19: Condition = 1#####, Action = 1, Strength = 7.9561

Rule 20: Condition = 1###01, Action = 0, Strength = 7.9561

Rule 21: Condition = ######, Action = 0, Strength = 7.33273

Rule 22: Condition = 110111, Action = 1, Strength = 7.33273

Rule 23: Condition = 0####1, Action = 1, Strength = 9.66721

Rule 24: Condition = 1#110#, Action = 1, Strength = 9.66721

Rule 25: Condition = 1###1#, Action = 1, Strength = 7.5864

Rule 26: Condition = 0###00, Action = 0, Strength = 7.5864

Rule 27: Condition = 1##100, Action = 1, Strength = 8.43926

Rule 28: Condition = 010#11, Action = 0, Strength = 8.43926

Rule 29: Condition = 01#110, Action = 1, Strength = 7.28691

Rule 30: Condition = 1#####, Action = 0, Strength = 7.28691

Rule 31: Condition = ##1#0#, Action = 0, Strength = 9.66721

Rule 32: Condition = 0#00##, Action = 1, Strength = 9.66721

Rule 33: Condition = 11#1##, Action = 1, Strength = 7.25574

Rule 34: Condition = 1#####, Action = 0, Strength = 7.25574

Rule 35: Condition = 1###0#, Action = 0, Strength = 8.97815

Rule 36: Condition = #####0, Action = 0, Strength = 8.97815

Rule 37: Condition = 0#1#01, Action = 1, Strength = 9.66721

Rule 38: Condition = 11##1#, Action = 1, Strength = 9.66721

Rule 39: Condition = 0#0#1#, Action = 0, Strength = 10.4296

Rule 40: Condition = 1###0#, Action = 0, Strength = 10.4296

Rule 41: Condition = 11#100, Action = 1, Strength = 8.14945

Rule 42: Condition = ####11, Action = 1, Strength = 8.14945

Rule 43: Condition = 1###01, Action = 0, Strength = 9.52393

Rule 44: Condition = 11##01, Action = 1, Strength = 9.52393

Rule 45: Condition = 1#00##, Action = 0, Strength = 10.546

Rule 46: Condition = 010#01, Action = 1, Strength = 10.546

Rule 47: Condition = 1##0##, Action = 0, Strength = 11.4517

Rule 48: Condition = ##0#11, Action = 1, Strength = 11.4517

Rule 49: Condition = 1###0#, Action = 1, Strength = 6.56434

Rule 50: Condition = 01##11, Action = 0, Strength = 6.56434

Rule 51: Condition = 0###1#, Action = 0, Strength = 3.31431

Rule 52: Condition = 1##110, Action = 1, Strength = 3.31431

Rule 53: Condition = 0###0#, Action = 1, Strength = 5.11287

Rule 54: Condition = 1#####, Action = 1, Strength = 5.11287

Rule 55: Condition = 1##00#, Action = 1, Strength = 8.07246

Rule 56: Condition = 11###1, Action = 0, Strength = 8.07246

Rule 57: Condition = 1####0, Action = 1, Strength = 5.11287

Rule 58: Condition = 0##01#, Action = 1, Strength = 5.11287

Rule 59: Condition = 1#####, Action = 1, Strength = 9.72927

Rule 60: Condition = 01##11, Action = 0, Strength = 9.72927


Final Accuracy: 65.625%

Run : 1

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = 0#00##, Action = 0, Strength = 11.4517

Rule 2: Condition = 001###, Action = 1, Strength = 11.4517

Rule 3: Condition = 01#1##, Action = 1, Strength = 11.4517

Rule 4: Condition = 0001##, Action = 0, Strength = 9.91313

Rule 5: Condition = 0#10##, Action = 0, Strength = 9.91313

Rule 6: Condition = ##1###, Action = 0, Strength = 4.69364

Rule 7: Condition = 01#1##, Action = 1, Strength = 11.4517

Rule 8: Condition = 001###, Action = 1, Strength = 11.4517

Rule 9: Condition = 01####, Action = 0, Strength = 10.6824

Rule 10: Condition = 0001##, Action = 1, Strength = 10.6824

Rule 11: Condition = 001###, Action = 0, Strength = 10.6824

Rule 12: Condition = 0001##, Action = 1, Strength = 10.6824

Rule 13: Condition = 001###, Action = 0, Strength = 10.6824

Rule 14: Condition = 0#10##, Action = 1, Strength = 10.6824

Rule 15: Condition = ##00##, Action = 1, Strength = 7.96948

Rule 16: Condition = 0#0###, Action = 0, Strength = 7.96948

Rule 17: Condition = 0#01##, Action = 1, Strength = 7.96948

Rule 18: Condition = #0####, Action = 1, Strength = 7.96948

Rule 19: Condition = 00#1#1, Action = 1, Strength = 11.4517

Rule 20: Condition = 011###, Action = 1, Strength = 11.4517

Rule 21: Condition = 0#1###, Action = 0, Strength = 8.07266

Rule 22: Condition = ##00##, Action = 0, Strength = 8.07266

Rule 23: Condition = 0#10##, Action = 0, Strength = 9.91313

Rule 24: Condition = 0001##, Action = 0, Strength = 9.91313

Rule 25: Condition = 0#0###, Action = 1, Strength = 11.4517

Rule 26: Condition = 0010##, Action = 0, Strength = 11.4517

Rule 27: Condition = 0100##, Action = 1, Strength = 5.75283

Rule 28: Condition = 0#0###, Action = 0, Strength = 5.75283

Rule 29: Condition = 0#00##, Action = 0, Strength = 10.6824

Rule 30: Condition = 0#1###, Action = 1, Strength = 10.6824

Rule 31: Condition = ##10##, Action = 0, Strength = 9.91313

Rule 32: Condition = 0#10##, Action = 0, Strength = 9.91313

Rule 33: Condition = 0#10##, Action = 0, Strength = 10.6824

Rule 34: Condition = 0#1###, Action = 1, Strength = 10.6824

Rule 35: Condition = 0#10##, Action = 0, Strength = 9.91313

Rule 36: Condition = 0#10##, Action = 0, Strength = 9.91313

Rule 37: Condition = 01#1##, Action = 1, Strength = 11.4517

Rule 38: Condition = 01#11#, Action = 1, Strength = 11.4517

Rule 39: Condition = 01#1##, Action = 1, Strength = 10.6824

Rule 40: Condition = 0#11##, Action = 0, Strength = 10.6824

Rule 41: Condition = 1#10##, Action = 0, Strength = 10.6824

Rule 42: Condition = 0#000#, Action = 0, Strength = 10.6824

Rule 43: Condition = 0#10##, Action = 0, Strength = 10.6824

Rule 44: Condition = 0#00##, Action = 0, Strength = 10.6824

Rule 45: Condition = 0#0###, Action = 0, Strength = 7.96948

Rule 46: Condition = ##00##, Action = 1, Strength = 7.96948

Rule 47: Condition = 01####, Action = 1, Strength = 11.4517

Rule 48: Condition = 0111##, Action = 1, Strength = 11.4517

Rule 49: Condition = ##0###, Action = 1, Strength = 7.96948

Rule 50: Condition = 01####, Action = 1, Strength = 7.96948

Rule 51: Condition = 0#01##, Action = 0, Strength = 9.91313

Rule 52: Condition = 0010##, Action = 0, Strength = 9.91313

Rule 53: Condition = 0#10#0, Action = 1, Strength = 10.6824

Rule 54: Condition = 01#1##, Action = 0, Strength = 10.6824

Rule 55: Condition = 0#00##, Action = 0, Strength = 11.4517

Rule 56: Condition = 0#00#1, Action = 0, Strength = 11.4517

Rule 57: Condition = 001###, Action = 0, Strength = 11.4517

Rule 58: Condition = 0#00##, Action = 1, Strength = 11.4517

Rule 59: Condition = 001###, Action = 0, Strength = 8.07266

Rule 60: Condition = ##1###, Action = 1, Strength = 8.07266


Final Accuracy: 50%

Run : 2

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = #0##0#, Action = 0, Strength = 11.5538

Rule 2: Condition = 11###1, Action = 1, Strength = 11.4517

Rule 3: Condition = 11###0, Action = 0, Strength = 11.4517

Rule 4: Condition = 01#0##, Action = 0, Strength = 11.4517

Rule 5: Condition = 001###, Action = 1, Strength = 11.3263

Rule 6: Condition = 01#1#0, Action = 1, Strength = 9.91313

Rule 7: Condition = 11###0, Action = 0, Strength = 11.4517

Rule 8: Condition = 11###0, Action = 0, Strength = 11.4517

Rule 9: Condition = #0###1, Action = 1, Strength = 9.83364

Rule 10: Condition = ####0#, Action = 0, Strength = 9.83364

Rule 11: Condition = 11####, Action = 0, Strength = 11.4517

Rule 12: Condition = 11###1, Action = 1, Strength = 11.4517

Rule 13: Condition = 01##1#, Action = 0, Strength = 11.4517

Rule 14: Condition = 1100#1, Action = 1, Strength = 11.4517

Rule 15: Condition = 01####, Action = 1, Strength = 11.4517

Rule 16: Condition = 11#0#1, Action = 1, Strength = 11.4517

Rule 17: Condition = 01#0#0, Action = 0, Strength = 11.4517

Rule 18: Condition = 11###1, Action = 0, Strength = 11.4517

Rule 19: Condition = #01###, Action = 1, Strength = 9.71992

Rule 20: Condition = 0####1, Action = 1, Strength = 9.71992

Rule 21: Condition = #0#00#, Action = 0, Strength = 11.5027

Rule 22: Condition = 11##01, Action = 1, Strength = 11.5027

Rule 23: Condition = 0100##, Action = 0, Strength = 10.6824

Rule 24: Condition = 01#1#0, Action = 1, Strength = 10.6824

Rule 25: Condition = 10##11, Action = 1, Strength = 9.74433

Rule 26: Condition = 01####, Action = 0, Strength = 9.74433

Rule 27: Condition = 11####, Action = 0, Strength = 11.4517

Rule 28: Condition = 01#0#1, Action = 1, Strength = 11.4517

Rule 29: Condition = 10##10, Action = 1, Strength = 10.2005

Rule 30: Condition = 11###1, Action = 1, Strength = 10.2005

Rule 31: Condition = #1##00, Action = 0, Strength = 11.4517

Rule 32: Condition = #1###1, Action = 1, Strength = 11.4517

Rule 33: Condition = 11##0#, Action = 0, Strength = 11.5027

Rule 34: Condition = #####1, Action = 0, Strength = 11.5027

Rule 35: Condition = 01#00#, Action = 1, Strength = 11.4517

Rule 36: Condition = 01###1, Action = 0, Strength = 11.4517

Rule 37: Condition = ######, Action = 0, Strength = 11.5027

Rule 38: Condition = 01#00#, Action = 0, Strength = 11.5027

Rule 39: Condition = 00#11#, Action = 0, Strength = 9.79538

Rule 40: Condition = #0##0#, Action = 0, Strength = 9.79538

Rule 41: Condition = 001###, Action = 1, Strength = 11.389

Rule 42: Condition = 11###1, Action = 1, Strength = 11.389

Rule 43: Condition = 01####, Action = 0, Strength = 11.4517

Rule 44: Condition = 11#0#1, Action = 1, Strength = 11.4517

Rule 45: Condition = 10##11, Action = 1, Strength = 6.4664

Rule 46: Condition = 11###1, Action = 1, Strength = 6.4664

Rule 47: Condition = 11#0#0, Action = 1, Strength = 5.75444

Rule 48: Condition = #0###0, Action = 0, Strength = 5.75444

Rule 49: Condition = #1#10#, Action = 0, Strength = 10.7335

Rule 50: Condition = #0###0, Action = 1, Strength = 10.7335

Rule 51: Condition = #####1, Action = 1, Strength = 9.78259

Rule 52: Condition = 01###0, Action = 0, Strength = 9.78259

Rule 53: Condition = 11###0, Action = 0, Strength = 11.4517

Rule 54: Condition = 11###1, Action = 1, Strength = 11.4517

Rule 55: Condition = 11##00, Action = 0, Strength = 5.76577

Rule 56: Condition = #0###0, Action = 0, Strength = 5.76577

Rule 57: Condition = 01##10, Action = 1, Strength = 10.6824

Rule 58: Condition = 11#1#1, Action = 1, Strength = 10.6824

Rule 59: Condition = #0##0#, Action = 0, Strength = 11.5538

Rule 60: Condition = #0##00, Action = 0, Strength = 11.5538


Final Accuracy: 51.5625%

Run : 3

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = 1###00, Action = 0, Strength = 11.4517

Rule 2: Condition = 1###11, Action = 1, Strength = 11.4507

Rule 3: Condition = 01#0##, Action = 0, Strength = 11.3873

Rule 4: Condition = #00##1, Action = 0, Strength = 10.8634

Rule 5: Condition = 01####, Action = 1, Strength = 10.734

Rule 6: Condition = 11###0, Action = 0, Strength = 9.91313

Rule 7: Condition = 11##1#, Action = 1, Strength = 8.40842

Rule 8: Condition = 0###0#, Action = 1, Strength = 8.40842

Rule 9: Condition = 1##000, Action = 0, Strength = 10.6824

Rule 10: Condition = 1####0, Action = 0, Strength = 10.6824

Rule 11: Condition = 1#0##0, Action = 0, Strength = 11.1576

Rule 12: Condition = #0##00, Action = 0, Strength = 11.1576

Rule 13: Condition = 10###0, Action = 0, Strength = 10.3236

Rule 14: Condition = 01####, Action = 1, Strength = 10.3236

Rule 15: Condition = 11###1, Action = 0, Strength = 8.72795

Rule 16: Condition = #00###, Action = 1, Strength = 8.72795

Rule 17: Condition = 110###, Action = 1, Strength = 11.0607

Rule 18: Condition = 00#0##, Action = 0, Strength = 11.0607

Rule 19: Condition = 1###11, Action = 0, Strength = 10.6819

Rule 20: Condition = 11###0, Action = 1, Strength = 10.6819

Rule 21: Condition = 1###00, Action = 0, Strength = 10.6824

Rule 22: Condition = 110#0#, Action = 1, Strength = 10.6824

Rule 23: Condition = 0###00, Action = 0, Strength = 11.4512

Rule 24: Condition = 1###11, Action = 1, Strength = 11.4512

Rule 25: Condition = 11####, Action = 1, Strength = 11.0924

Rule 26: Condition = 0###11, Action = 1, Strength = 11.0924

Rule 27: Condition = #0##0#, Action = 1, Strength = 0.074532

Rule 28: Condition = #10##1, Action = 1, Strength = 0.074532

Rule 29: Condition = 11##01, Action = 1, Strength = 5.40545

Rule 30: Condition = 01####, Action = 0, Strength = 5.40545

Rule 31: Condition = 0##0##, Action = 0, Strength = 11.419

Rule 32: Condition = 11##11, Action = 1, Strength = 11.419

Rule 33: Condition = 01####, Action = 1, Strength = 8.66326

