Parameters : 

                   

populationSize30

maxRules = 50

maxGenerations = 1000

mutationRate = 0.15

bidPercentage = 0.08

rewardAmount = 2.2

repeatCount = 15

taxRate = 0.18

negativeRewardFactor = 0.7

strengthThreshold = 20

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
ALL RULES 

Rule 44: Condition = 0#1##0, Action = 1, Strength = 12.9357

Rule 45: Condition = 11###1, Action = 1, Strength = 12.9357

Rule 46: Condition = 10##0#, Action = 1, Strength = 9.71302

Rule 47: Condition = 1####0, Action = 1, Strength = 9.71302

Rule 48: Condition = 00#001, Action = 0, Strength = 13.9625

Rule 49: Condition = 11##0#, Action = 0, Strength = 13.9625

Rule 50: Condition = #10#0#, Action = 1, Strength = 2.14501


Final Accuracy: 65.625%

Run : 2

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = #00#0#, Action = 0, Strength = 18.9531

Rule 2: Condition = 01#0##, Action = 0, Strength = 18.9528

Rule 3: Condition = 01#1##, Action = 1, Strength = 18.9528

Rule 4: Condition = 0#11##, Action = 1, Strength = 15.4937

Rule 5: Condition = ######, Action = 1, Strength = 11.6835

Rule 6: Condition = #001##, Action = 0, Strength = 18.953

Rule 7: Condition = 01####, Action = 1, Strength = 18.953

Rule 8: Condition = ###00#, Action = 0, Strength = 13.5886

Rule 9: Condition = 0#1###, Action = 1, Strength = 13.5886

Rule 10: Condition = 0111#1, Action = 1, Strength = 17.2233

Rule 11: Condition = 001110, Action = 1, Strength = 17.2233

Rule 12: Condition = #10#0#, Action = 0, Strength = 9.78802

Rule 13: Condition = 010#01, Action = 0, Strength = 9.78802

Rule 14: Condition = 1###0#, Action = 0, Strength = 6.0927

Rule 15: Condition = #10000, Action = 0, Strength = 6.0927

Rule 16: Condition = 01#1#1, Action = 1, Strength = 9.78788

Rule 17: Condition = ##0#0#, Action = 0, Strength = 9.78788

Rule 18: Condition = 0#101#, Action = 1, Strength = 17.2234

Rule 19: Condition = #00###, Action = 0, Strength = 17.2234

Rule 20: Condition = 101#0#, Action = 1, Strength = 9.921

Rule 21: Condition = #000##, Action = 0, Strength = 9.921

Rule 22: Condition = 01#0##, Action = 1, Strength = 18.9528

Rule 23: Condition = 01#1##, Action = 0, Strength = 18.9528

