Parameters : 

                   

PopulationSize = 30

MaxRules = 60

MaxGenerations = 1000

MutationRate = 0.1

BidPercentage = 0.05

RewardAmount = 2

RepeatCount = 20

TaxRate = 0.15

NegativeRewardFactor = 1.25

StrengthThreshold = 20

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
Condition: 01#1## Action: 1 Strength: 26.2414

Condition: 11###1 Action: 1 Strength: 22.0862

Condition: #1#### Action: 0 Strength: 20.7299

Condition: 01#1## Action: 0 Strength: 23.4857

Condition: #1#### Action: 1 Strength: 23.4857

Condition: 11#1## Action: 1 Strength: 23.4857

Condition: 01#### Action: 0 Strength: 23.4857

Condition: 01#1## Action: 0 Strength: 23.4857

Condition: ###### Action: 1 Strength: 23.4857

Condition: 0###0# Action: 1 Strength: 20.7316

Condition: #1#1## Action: 1 Strength: 20.7316

Condition: 010##1 Action: 0 Strength: 24.1638

Condition: 11#### Action: 1 Strength: 24.1638

Condition: #101## Action: 0 Strength: 23.4857

Condition: 01#### Action: 1 Strength: 23.4857

Condition: 11#### Action: 0 Strength: 21.408

Condition: 11###1 Action: 1 Strength: 21.408

Condition: 01#### Action: 0 Strength: 23.4857

Condition: #0#### Action: 1 Strength: 23.4857

ALL RULES 

Rule 1: Condition = 01#1##, Action = 1, Strength = 26.2415

Rule 2: Condition = 11###0, Action = 0, Strength = 26.2415

Rule 3: Condition = 01#0##, Action = 0, Strength = 26.2415

Rule 4: Condition = 1###11, Action = 1, Strength = 26.2415

Rule 5: Condition = 10##01, Action = 0, Strength = 20.5004

Rule 6: Condition = 11####, Action = 1, Strength = 20.4775

Rule 7: Condition = 10##10, Action = 1, Strength = 20.0961

Rule 8: Condition = 10###0, Action = 0, Strength = 19.4485

Rule 9: Condition = 0#####, Action = 0, Strength = 8.56041

Rule 10: Condition = 11#1##, Action = 1, Strength = 1.43302

Rule 11: Condition = 01#0#0, Action = 0, Strength = 1.01711

Rule 12: Condition = 10##10, Action = 1, Strength = 19.7723

Rule 13: Condition = 10##10, Action = 0, Strength = 19.7723

Rule 14: Condition = 11##01, Action = 1, Strength = 20.4889

Rule 15: Condition = 10##1#, Action = 0, Strength = 20.4889

Rule 16: Condition = 01#0##, Action = 0, Strength = 23.3595

Rule 17: Condition = 11####, Action = 1, Strength = 23.3595

Rule 18: Condition = 11#011, Action = 1, Strength = 0.795606

Rule 19: Condition = 1#####, Action = 0, Strength = 0.795606

Rule 20: Condition = 1###01, Action = 1, Strength = 13.4651

Rule 21: Condition = 11#01#, Action = 0, Strength = 13.4651

Rule 22: Condition = 1###11, Action = 0, Strength = 23.3595

Rule 23: Condition = 1101##, Action = 1, Strength = 23.3595

Rule 24: Condition = 11###0, Action = 0, Strength = 26.2415

Rule 25: Condition = 11#011, Action = 1, Strength = 26.2415

Rule 26: Condition = 0##0##, Action = 0, Strength = 0.691953

Rule 27: Condition = 111###, Action = 0, Strength = 0.691953

Rule 28: Condition = 01#1##, Action = 0, Strength = 26.2415

Rule 29: Condition = 11#0#0, Action = 0, Strength = 26.2415

Rule 30: Condition = 11#100, Action = 0, Strength = 26.2415

Rule 31: Condition = 01####, Action = 1, Strength = 26.2415

Rule 32: Condition = 0####0, Action = 1, Strength = 17.4009

Rule 33: Condition = 11###0, Action = 0, Strength = 17.4009

Rule 34: Condition = 10###0, Action = 1, Strength = 20.2982

Rule 35: Condition = 110#01, Action = 0, Strength = 20.2982

Rule 36: Condition = 11###0, Action = 1, Strength = 26.2415

Rule 37: Condition = 111##0, Action = 0, Strength = 26.2415

Rule 38: Condition = 0###1#, Action = 1, Strength = 26.2415

Rule 39: Condition = 01#0#1, Action = 1, Strength = 26.2415

Rule 40: Condition = 11####, Action = 1, Strength = 13.6249

Rule 41: Condition = 1110##, Action = 0, Strength = 13.6249

Rule 42: Condition = 1##000, Action = 0, Strength = 23.3709

Rule 43: Condition = #0##11, Action = 0, Strength = 23.3709

Rule 44: Condition = 110#11, Action = 0, Strength = 13.4651

Rule 45: Condition = ###0##, Action = 1, Strength = 13.4651

Rule 46: Condition = 10####, Action = 0, Strength = 19.963

Rule 47: Condition = 11#0##, Action = 0, Strength = 19.963

Rule 48: Condition = 1##0#0, Action = 0, Strength = 13.3811

Rule 49: Condition = 01####, Action = 0, Strength = 13.3811

Rule 50: Condition = 11#1#1, Action = 1, Strength = 13.6293

Rule 51: Condition = 011##0, Action = 0, Strength = 13.6293

Rule 52: Condition = 111#11, Action = 1, Strength = 0.957034

Rule 53: Condition = 1####1, Action = 1, Strength = 0.957034

Rule 54: Condition = 11#1##, Action = 0, Strength = 13.5736

Rule 55: Condition = 000#11, Action = 1, Strength = 13.5736

Rule 56: Condition = 11###0, Action = 0, Strength = 26.2415

Rule 57: Condition = 11###0, Action = 1, Strength = 26.2415

Rule 58: Condition = 10###0, Action = 0, Strength = 14.0044

Rule 59: Condition = 0#####, Action = 0, Strength = 14.0044


Final Accuracy: 62.5%

Run : 2

Final High Strength Rules:
Condition: 10##1# Action: 1 Strength: 26.2415

Condition: 10##0# Action: 0 Strength: 26.2415

Condition: 001### Action: 1 Strength: 26.2414

Condition: 000### Action: 0 Strength: 26.2414

Condition: 11###1 Action: 1 Strength: 25.8359

Condition: 11#### Action: 0 Strength: 24.0636

Condition: 0110## Action: 0 Strength: 20.4986

Condition: 000### Action: 1 Strength: 26.2415

Condition: 10#### Action: 0 Strength: 26.2415

Condition: 11#### Action: 0 Strength: 25.1525

Condition: 001### Action: 1 Strength: 25.1525

Condition: 11##0# Action: 0 Strength: 25.1525

Condition: #0#### Action: 0 Strength: 25.1525

Condition: 10##1# Action: 1 Strength: 25.1525

Condition: #0###1 Action: 0 Strength: 25.1525

Condition: 0#1#0# Action: 0 Strength: 26.2415

Condition: 10#### Action: 1 Strength: 26.2415

Condition: 01#### Action: 1 Strength: 26.0387

Condition: 101##0 Action: 1 Strength: 26.0387

Condition: 000##1 Action: 1 Strength: 26.0387

